event_day,event_date,event_title,event_url,organizer,blood_donation_location,start_time,end_time,blood_donor_target
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2, 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR",11.00 PAGI,7.00 MALAM,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,AEON - CHERAS SELATAN STORE AND SHOPPING CENTRE,"GF (DEPAN POH KONG) @AEON – CHERAS SELATAN STORE AND SHOPPING CENTRE, LEBUH TUN HUSSEIN ONN, 43200 BALAKONG SELANGOR",10.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,KIPMALL BANGI,"TINGKAT 1 @ KIPMALL BANGI, NO. 1, JALAN MEDAN BANGI, (BUSINESS PARK BANGI GOLF RESORT) OFF PERSIARAN KEMAJUAN, SEKSYEN 6, 43650 BANDAR BARU BANGI, SELANGOR",11.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,KIPMALL DESA COALFIELDS,"LG (BERDEKATAN LALUAN MASUK) @ KIPMALL DESA COALFIELDS,JALAN DC 4/5, DESA COALFIELDS, 47000 SUNGAI BULOH, SELANGOR",11.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,LOTUS'S SELAYANG,"TINGKAT 1 (DEPAN MR.DIY) @ LOTUS'S SELAYANG, NO. 1051 JALAN IPOH MUKIM BATU, 51200 SELAYANG, SELANGOR",11.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,KK SENG KEE AIRCOND REFRIGERATION ENGINEERING,"TINGKAT 1 (DEPAN DECATHLON) @ LOTUS’S PUCHONG, 148-149 PUSAT BANDAR PUCHONG, JALAN BANDAR 3, OFF JALAN PUCHONG, 47100 PUCHONG, SELANGOR",11.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,PERTUBUHAN EHSAN JAYA,"GF (POH KONG) @ AEON RAWANG, PERSIARAN ANGGUN, TAMAN ANGGUN, 48000 RAWANG, SELANGOR.",10.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,PERSATUAN KEBAJIKAN AGAMA BUDDHA SETAPAK,"GF @ AEON ALPHA ANGLE WANGSA MAJU, JALAN 3/27A, 53300 WANGSA MAJUKUALA LUMPUR",10.00 PAGI,5.00 PETANG,0
Sunday,2023-01-01,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/675/-/kempen-derma-darah?Itemid=0,PERSATUAN BERSATU MENUJU WAWASAN – HULU SELANGOR,"DEWAN JMB @ APARTMENT DAHLIA TAMAN BUNGA RAYA, BUKIT BERUNTUNG, 48300 RAWANG SELANGOR.",9.30 PAGI,3.30 PETANG,0
Sunday,2023-01-01,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/668/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",8.00 PAGI,4.00 PETANG,0
